Thématiques,Critères,Accueil|https://metiers.numerique.gouv.fr/,Mentions légales|https://metiers.numerique.gouv.fr/mentions-legales,Découvrez les emplois|https://metiers.numerique.gouv.fr/emplois,Détail d'une page d'offre d'emploi|https://metiers.numerique.gouv.fr/emploi/ingenieure-devops-24d627c1-418f-4dc4-9f96-5367b4446859,Détail d'une institution|https://metiers.numerique.gouv.fr/institution/dnum-des-ministeres-sociaux-travail-et-emploi-14f741d6-9042-49ab-b7aa-af5be60b9ced,Données personnelles|https://metiers.numerique.gouv.fr/donnees-personnelles-et-cookies,,
10,3,"nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre ici dans notre cas ""Voir la vidéo"". Ajouter un attribut _title_ dans le lien qui reprend l'information perdue. Par exemple : `<a title=""Voir la vidéo (nouvelle fenêtre)"">Voir la vidéo</a>` | Présence du bloc de texte de la modale du chat en fin de page.",nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre. Ajouter un attribut _title_ dans le lien qui reprend le texte de l'information perdue. | Présence du bloc de texte de la modale du chat en fin de page.,nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre. Ajouter un attribut _title_ dans le lien qui reprend le texte de l'information perdue. | Présence du bloc de texte de la modale du chat en fin de page.,nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre. Ajouter un attribut _title_ dans le lien qui reprend le texte de l'information perdue. | Présence du bloc de texte de la modale du chat en fin de page.,nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre. Ajouter un attribut _title_ dans le lien qui reprend le texte de l'information perdue. | Présence du bloc de texte de la modale du chat en fin de page.,nc| L'information n'est pas compréhensible quand les feuilles de styles sont désactivées. On perd l'information de l'ouverture d'une nouvelle fenêtre. Ajouter un attribut _title_ dans le lien qui reprend le texte de l'information perdue. | Présence du bloc de texte de la modale du chat en fin de page.,,
10,4,c,c,c,c,c,c,,
10,5,c,c,c,c,c,c,,
10,6,na,na,na,na,na,c,,
10,7,c,c,c,c,c,c,,
10,8,c,c,c,c,c,c,,
10,9,c,c,c,c,c,c,,
10,10,c,c,c,c,c,c,,
10,11,c,c,c,c,c,c,,
10,12,c,c,c,c,c,c,,
10,13,na,na,na,na,na,na,,
10,14,na,na,na,na,na,na,,
11,1,"nc | Le champ de formulaire ""email"" n'a pas d'étiquette",na,"nc|Le champ ""Regions"" n'a pas d'étiquette (erreur for/id) - Disparu au 17/01/22",na,na,c,,
11,2,na,na,na,na,na,c,,
11,3,na,na,na,na,na,na,,
11,4,na,na,na,na,na,c,,
11,5,na,na,na,na,na,na,,
11,6,nc,na,na,na,na,na,,
11,7,na,na,na,na,na,na,,
11,8,na,na,na,na,na,na,,
11,9,"nc |L'intitulé du bouton ""S'inscrire"" n'est pas pertinent, ajouter un texte caché ""à la lettre d'information""",na,na,na,na,c,,
11,10,c,na,na,na,na,na,,
11,11,nc| Absence de format attendu dans le message d'erreur dans le bloc de la lettre d'information,na,nc| Absence de format attendu dans le message d'erreur dans le bloc de la lettre d'information,nc| Absence de format attendu dans le message d'erreur dans le bloc de la newsletter,nc| Absence de format attendu dans le message d'erreur dans le bloc de la newsletter,na,,
11,12,na,na,na,na,na,c,,
11,13,nc| L'attribut _autocomplete_ est désactivé. Modifier la valeur _off_ par la valeur _email_,na,nc| L'attribut _autocomplete_ est désactivé. Modifier la valeur _off_ par la valeur _email_,nc| L'attribut _autocomplete_ est désactivé. Modifier la valeur _off_ par la valeur _email_,nc| L'attribut _autocomplete_ est désactivé. Modifier la valeur _off_ par la valeur _email_,na,,
12,1,na| Absence d'un plan de site ou moteur de recherche,na| Absence d'un plan de site ou moteur de recherche,na| Absence d'un plan de site ou moteur de recherche,na| Absence d'un plan de site ou moteur de recherche,na| Absence d'un plan de site ou moteur de recherche,na| Absence d'un plan de site ou moteur de recherche,,
12,2,c,c,c,c,c,c,,
12,3,na,na,na,na,na,na,,
12,4,na,na,na,na,na,na,,
12,5,na,na,na,na,na,na,,
12,6,c,c,c,c,c,c,,
12,7,nc| Présence de liens d'évitement non fonctionnels,nc| Présence de liens d'évitement non fonctionnels,nc| Présence de liens d'évitement non fonctionnels,nc| Présence de liens d'évitement non fonctionnels,nc| Présence de liens d'évitement non fonctionnels,nc| Présence de liens d'évitement non fonctionnels,,
12,8,"nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '<div class=""fr-modal__body"">'","nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '<div class=""fr-modal__body"">'","nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '","nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '<div class=""fr-modal__body"">'","nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '<div class=""fr-modal__body"">'","nc|L'ordre de tabulation n'est pas cohérent, la modale ne reçoit pas le focus sur le conteneur principal '<div class=""fr-modal__body"">'",,
12,9,c,c,c,c,c,c,,
12,10,na,na,na,na,na,na,,
12,11,na,na,na,na,na,na,,
13,1,na,na,na,na,na,na,,
13,2,c,c,c,c,c,c,,
13,3,na,na,na,na,na,na,,
13,4,na,na,na,na,na,na,,
13,5,na,na,na,na,na,na,,
13,6,na,na,na,na,na,na,,
13,7,na,na,na,na,na,na,,
13,8,na,na,na,na,na,na,,
13,9,c,c,c,c,c,c,,
13,10,na,na,na,na,na,na,,
13,11,c,c,c,c,c,c,,
13,12,na,na,na,na,na,na,,
